Tag;Stunde;Minute;Ruderschlaege/Minute;Segel
24;12;16;0;1
24;12;17;-15;1
24;12;18;24;0
24;12;19;25;0
24;12;20;29;0
24;12;21;30;0
24;12;22;31;0
24;12;23;30;0
24;12;24;27;0
24;12;25;15;0
24;12;26;30;0
24;12;27;28;0
24;12;28;28;0
24;12;29;29;0
24;12;30;10;1
24;12;31;0;1
24;12;32;0;1
24;12;33;0;1
24;12;34;0;1
24;12;35;0;1
24;12;36;0;1
24;12;37;0;1
24;12;38;0;1
24;12;39;0;1
24;12;40;0;1
24;12;41;0;1
24;12;42;0;1
24;12;43;0;1
24;12;44;0;1
24;12;45;0;1
24;12;46;0;1
24;12;47;0;1
24;12;48;-10;1
24;12;49;21;0
24;12;50;19;0
24;12;51;7;1
24;12;52;0;1
24;12;53;0;1
24;12;54;0;1
24;12;55;0;1
24;12;56;0;1
24;12;57;0;1
24;12;58;0;1
24;12;59;5;1
24;13;0;12;0
24;13;1;-5;0
24;13;2;16;0
24;13;3;-2;0
24;13;4;7;1
24;13;5;0;1
24;13;6;0;1
24;13;7;0;1
24;13;8;0;1
24;13;9;0;1
24;13;10;0;1
24;13;11;0;1
24;13;12;0;1
24;13;13;0;1
24;13;14;0;1
24;13;15;0;1
24;13;16;0;1
24;13;17;0;1
24;13;18;0;1
24;13;19;0;1
24;13;20;0;1
24;13;21;0;1
24;13;22;0;1
24;13;23;0;1
24;13;24;0;1
24;13;25;0;1
24;13;26;0;1
24;13;27;0;1
24;13;28;0;1
24;13;29;0;1
24;13;30;0;1
24;13;31;0;1
24;13;32;0;1
24;13;33;0;1
24;13;34;0;1
24;13;35;24;1
24;13;36;22;1
24;13;37;23;1
24;13;38;30;1
24;13;39;15;1
24;13;40;18;0
24;13;41;30;0
24;13;42;29;0
24;13;43;25;0
24;13;44;30;0
24;13;45;30;0
24;13;46;31;0
24;13;47;17;0
24;13;48;29;0
24;13;49;26;0
24;13;50;26;0
24;13;51;27;0
24;13;52;32;0
24;13;53;27;0
24;13;54;27;0
24;13;55;26;0
24;13;56;20;0
24;13;57;10;0
24;13;58;15;0
24;13;59;22;0
24;14;0;15;0
24;14;1;27;0
24;14;2;27;0
24;14;3;17;0
24;14;4;21;0
24;14;5;28;0
24;14;6;20;0
24;14;7;27;0
24;14;8;24;0
24;14;9;27;0
24;14;10;30;0
24;14;11;22;0
24;14;12;25;0
24;14;13;25;0
24;14;14;0;0
